,forward,datetime,month,strike,mid,close,ric_call,ric_put,ric_fut,delivery_date,T,r,c,p,F,q,iv_call,iv_put
0,1,2022-05-03,5,21000.0,20992.46,21101.89,HSI21000F2.HF,HSI21000R2.HF,HSIM2,2022-06-30,0.1589041095890411,0.001987922771551863,793,1042,20751,0.07479212761375591,0.27495935243541814,0.2749832261562804
1,1,2022-05-04,5,21000.0,20928.7875,20869.52,HSI21000F2.HF,HSI21000R2.HF,HSIM2,2022-06-30,0.15616438356164383,0.001899993867952024,652,1147,20506,0.13258329608609665,0.268234076189473,0.2685940905109316
2,1,2022-05-05,5,21000.0,21004.5925,20793.4,HSI21000F2.HF,HSI21000R2.HF,HSIM2,2022-06-30,0.15342465753424658,0.0018690522331553754,599,1160,20440,0.17946331506376553,0.26265096815791505,0.26302261249605213
3,1,2022-05-06,5,20200.0,20145.6925,20001.96,HSI20200F2.HF,HSI20200R2.HF,HSIM2,2022-06-30,0.1506849315068493,0.0017704318602226035,633,1170,19664,0.16237667670777006,0.28369037993440827,0.28407257707846684
4,1,2022-05-10,5,19400.0,19467.972500000003,19633.69,HSI19400F2.HF,HSI19400R2.HF,HSIM2,2022-06-30,0.13972602739726028,0.0018358138620779179,840,982,19257,0.07981733671035432,0.31587424917271073,0.31553870540203277
5,1,2022-05-11,5,19800.0,19723.4725,19824.57,HSI19800F2.HF,HSI19800R2.HF,HSIM2,2022-06-30,0.136986301369863,0.0017888989656914343,761,1008,19556,0.06403803726958357,0.3022702325628135,0.30333172358024885
6,1,2022-05-12,5,19600.0,19502.8475,19380.34,HSI19600F2.HF,HSI19600R2.HF,HSIM2,2022-06-30,0.13424657534246576,0.0017959862507476354,611,1197,19007,0.19363066147894872,0.310614113683164,0.308088039382168
7,1,2022-05-13,5,19800.0,19762.115,19898.77,HSI19800F2.HF,HSI19800R2.HF,HSIM2,2022-06-30,0.13150684931506848,0.0017941894790074798,723,972,19553,0.082687266274411,0.29554777960911705,0.2962770330680394
8,1,2022-05-16,5,20000.0,20004.98,19950.21,HSI20000F2.HF,HSI20000R2.HF,HSIM2,2022-06-30,0.1232876712328767,0.0019154643263384673,669,960,19706,0.12405326211075973,0.29055403131366153,0.2894873684109412
9,1,2022-05-17,5,20400.0,20397.945,20602.52,HSI20400F2.HF,HSI20400R2.HF,HSIM2,2022-06-30,0.12054794520547946,0.0018845231702267953,787,831,20353,0.02018296291061869,0.28727195873693084,0.28621097926043787
10,1,2022-05-18,5,20600.0,20605.0125,20644.28,HSI20600F2.HF,HSI20600R2.HF,HSIM2,2022-06-30,0.1178082191780822,0.0017918935993079708,615,941,20273,0.13968057459919658,0.27439976277153044,0.2740617782200976
11,1,2022-05-19,5,20200.0,20117.612500000003,20120.68,HSI20200F2.HF,HSI20200R2.HF,HSIM2,2022-06-30,0.11506849315068493,0.001858971042137308,599,992,19804,0.1384014531697592,0.2887306755078682,0.28762973997164737
12,1,2022-05-20,5,20600.0,20597.75,20717.24,HSI20600F2.HF,HSI20600R2.HF,HSIM2,2022-06-30,0.11232876712328767,0.0018732443816804189,670,872,20397,0.08906386854373148,0.28008575483453796,0.2797340649626095
13,1,2022-05-23,5,20600.0,20506.254999999997,20470.06,HSI20600F2.HF,HSI20600R2.HF,HSIM2,2022-06-30,0.10410958904109589,0.0018358138620779179,560,955,20210,0.1416157349418938,0.28137649202070125,0.2833539833434498
14,1,2022-05-24,5,20200.0,20257.87,20112.1,HSI20200F2.HF,HSI20200R2.HF,HSIM2,2022-06-30,0.10136986301369863,0.0018287268592867307,582,878,19909,0.17319592330226533,0.2820658398780758,0.2840782462665202
15,1,2022-05-25,5,20200.0,20181.3875,20171.27,HSI20200F2.HF,HSI20200R2.HF,HSIM2,2022-06-30,0.09863013698630137,0.0018702499916701256,561,852,19915,0.13659126456710216,0.2763811138022226,0.2788246570947189
16,1,2022-05-26,5,20200.0,20137.85,20116.2,HSI20200F2.HF,HSI20200R2.HF,HSIM2,2022-06-30,0.0958904109589041,0.001893406374308825,508,854,19846,0.15413650579392446,0.27105727929729095,0.26777264822990476
17,1,2022-05-27,5,20600.0,20654.33,20697.36,HSI20600F2.HF,HSI20600R2.HF,HSIM2,2022-06-30,0.09315068493150686,0.001879233134802025,613,644,20567,0.047366103059418324,0.25122273896203884,0.2504261374811118
18,1,2022-05-30,5,21000.0,21027.8825,21123.93,HSI21000F2.HF,HSI21000R2.HF,HSIM2,2022-06-30,0.08493150684931507,0.0019398173372052413,606,620,20992,0.022048755180846938,0.2499827080505714,0.25244326835339176
19,1,2022-05-31,5,21200.0,21241.6325,21415.2,HSI21200F2.HF,HSI21200R2.HF,HSIM2,2022-06-30,0.0821917808219178,0.0019522930351695248,722,526,21394,-0.08500841877323773,0.2547148330328271,0.2538737334958996
20,2,2022-05-03,5,21000.0,20992.46,21101.89,HSI21000G2.HF,HSI21000S2.HF,HSIN2,2022-07-31,0.24383561643835616,0.004852598992967672,924,1284,,0.0,0.2215388678259777,0.3130132672082765
21,2,2022-05-04,5,21000.0,20928.7875,20869.52,HSI21000G2.HF,HSI21000S2.HF,HSIN2,2022-07-31,0.2410958904109589,0.004901379030711842,788,1398,,0.0,0.197677913875063,0.33531927482340695
22,2,2022-05-05,5,21000.0,21004.5925,20793.4,HSI21000G2.HF,HSI21000S2.HF,HSIN2,2022-07-31,0.23835616438356164,0.0048676760431250665,730,1411,,0.0,0.1750508700213351,0.34908531522917463
23,2,2022-05-06,5,20200.0,20145.6925,20001.96,HSI20200G2.HF,HSI20200S2.HF,HSIN2,2022-07-31,0.2356164383561644,0.004861108070153409,782,1411,,0.0,0.20435023133855745,0.3578479981309745
24,2,2022-05-10,5,19400.0,19467.972500000003,19633.69,HSI19400G2.HF,HSI19400S2.HF,HSIN2,2022-07-31,0.22465753424657534,0.004850179446517266,978,1220,,0.0,0.25412233164438713,0.34454911819296374
25,2,2022-05-11,5,19800.0,19723.4725,19824.57,HSI19800G2.HF,HSI19800S2.HF,HSIN2,2022-07-31,0.2219178082191781,0.004869402298426484,903,1258,,0.0,0.2507753945151919,0.3317667500986954
26,2,2022-05-12,5,19600.0,19502.8475,19380.34,HSI19600G2.HF,HSI19600S2.HF,HSIN2,2022-07-31,0.2191780821917808,0.005015561286999156,768,1450,,0.0,0.2207361563823377,0.38738423009848083
27,2,2022-05-13,5,19800.0,19762.115,19898.77,HSI19800G2.HF,HSI19800S2.HF,HSIN2,2022-07-31,0.21643835616438356,0.00520230378056816,882,1220,,0.0,0.24262249239629197,0.3306847054047845
28,2,2022-05-16,5,20000.0,20004.98,19950.21,HSI20000G2.HF,HSI20000S2.HF,HSIN2,2022-07-31,0.20821917808219179,0.00525000300282763,825,1218,,0.0,0.22308289780928953,0.33869058077671554
29,2,2022-05-17,5,20400.0,20397.945,20602.52,HSI20400G2.HF,HSI20400S2.HF,HSIN2,2022-07-31,0.2054794520547945,0.005297099100958548,932,1089,,0.0,0.25017768458171386,0.29831684364286665
30,2,2022-05-18,5,20600.0,20605.0125,20644.28,HSI20600G2.HF,HSI20600S2.HF,HSIN2,2022-07-31,0.20273972602739726,0.005363844052450727,772,1198,,0.0,0.20506244648070515,0.32787523824582093
31,2,2022-05-19,5,20200.0,20117.612500000003,20120.68,HSI20200G2.HF,HSI20200S2.HF,HSIN2,2022-07-31,0.2,0.005495307780039172,761,1250,,0.0,0.22006731608136804,0.3396308417625381
32,2,2022-05-20,5,20600.0,20597.75,20717.24,HSI20600G2.HF,HSI20600S2.HF,HSIN2,2022-07-31,0.19726027397260273,0.005528717728302096,830,1137,,0.0,0.22484471162205746,0.3147082725009066
